employee_id,age,department,job_role,education_level,marital_status,gender,over_time,monthly_income,salary,tenure,attrition
1,25,Sales,Sales Executive,3,Single,Male,Yes,3000,40000,12,Yes
2,30,HR,HR Manager,2,Married,Female,No,4500,50000,24,No
3,35,IT,IT Specialist,4,Divorced,Male,Yes,5000,45000,36,Yes
4,40,Finance,Financial Analyst,1,Single,Female,No,6000,60000,48,No
5,45,Marketing,Marketing Coordinator,3,Married,Male,Yes,7000,55000,60,Yes
6,50,Sales,Sales Executive,2,Divorced,Female,No,8000,50000,72,No
7,55,IT,HR Manager,4,Single,Male,Yes,5500,45000,84,Yes
8,60,Finance,IT Specialist,3,Married,Female,No,6400,58000,96,No
9,26,HR,Financial Analyst,2,Divorced,Male,Yes,5000,60000,18,Yes
10,32,Marketing,Marketing Coordinator,1,Single,Female,No,4500,47000,30,No
11,25,Sales,Sales Executive,3,Married,Male,Yes,3000,40000,12,Yes
12,30,HR,HR Manager,2,Divorced,Female,No,4500,50000,24,No
13,35,IT,IT Specialist,4,Single,Male,Yes,5000,45000,36,Yes
14,40,Finance,Financial Analyst,1,Married,Female,No,6000,60000,48,No
15,45,Marketing,Marketing Coordinator,3,Divorced,Male,Yes,7000,55000,60,Yes
16,50,Sales,Sales Executive,2,Single,Female,No,8000,50000,72,No
17,55,IT,HR Manager,4,Married,Male,Yes,5500,45000,84,Yes
18,60,Finance,IT Specialist,3,Divorced,Female,No,6400,58000,96,No
19,26,HR,Financial Analyst,2,Single,Male,Yes,5000,60000,18,Yes
20,32,Marketing,Marketing Coordinator,1,Married,Female,No,4500,47000,30,No
21,25,Sales,Sales Executive,3,Divorced,Male,Yes,3000,40000,12,Yes
22,30,HR,HR Manager,2,Single,Female,No,4500,50000,24,No
23,35,IT,IT Specialist,4,Married,Male,Yes,5000,45000,36,Yes
24,40,Finance,Financial Analyst,1,Divorced,Female,No,6000,60000,48,No
25,45,Marketing,Marketing Coordinator,3,Single,Male,Yes,7000,55000,60,Yes
26,50,Sales,Sales Executive,2,Married,Female,No,8000,50000,72,No
27,55,IT,HR Manager,4,Divorced,Male,Yes,5500,45000,84,Yes
28,60,Finance,IT Specialist,3,Single,Female,No,6400,58000,96,No
29,26,HR,Financial Analyst,2,Married,Male,Yes,5000,60000,18,Yes
30,32,Marketing,Marketing Coordinator,1,Divorced,Female,No,4500,47000,30,No
